file;labels
./data_training/silence/11.wav;1,0,0
./data_training/silence/12.wav;1,0,0
./data_training/silence/13.wav;1,0,0
./data_training/silence/14.wav;1,0,0
./data_training/silence/15.wav;1,0,0
./data_training/silence/16.wav;1,0,0
./data_training/silence/17.wav;1,0,0
./data_training/silence/18.wav;1,0,0
./data_training/silence/19.wav;1,0,0
./data_training/silence/20.wav;1,0,0
./data_training/silence/21.wav;1,0,0
./data_training/silence/22.wav;1,0,0
./data_training/silence/23.wav;1,0,0
./data_training/silence/24.wav;1,0,0
./data_training/silence/25.wav;1,0,0
./data_training/silence/26.wav;1,0,0
./data_training/silence/27.wav;1,0,0
./data_training/silence/28.wav;1,0,0
./data_training/silence/29.wav;1,0,0
./data_training/silence/30.wav;1,0,0
./data_training/silence/31.wav;1,0,0
./data_training/silence/32.wav;1,0,0
./data_training/silence/33.wav;1,0,0
./data_training/silence/34.wav;1,0,0
./data_training/silence/35.wav;1,0,0
./data_training/silence/36.wav;1,0,0
./data_training/silence/37.wav;1,0,0
./data_training/silence/38.wav;1,0,0
./data_training/silence/39.wav;1,0,0
./data_training/silence/40.wav;1,0,0
./data_training/silence/41.wav;1,0,0
./data_training/silence/42.wav;1,0,0
./data_training/silence/43.wav;1,0,0
./data_training/silence/44.wav;1,0,0
./data_training/silence/45.wav;1,0,0
./data_training/silence/46.wav;1,0,0
./data_training/silence/47.wav;1,0,0
./data_training/silence/48.wav;1,0,0
./data_training/silence/49.wav;1,0,0
./data_training/silence/50.wav;1,0,0
./data_training/speech/61.wav;0,1,0
./data_training/speech/62.wav;0,1,0
./data_training/speech/63.wav;0,1,0
./data_training/speech/64.wav;0,1,0
./data_training/speech/65.wav;0,1,0
./data_training/speech/66.wav;0,1,0
./data_training/speech/67.wav;0,1,0
./data_training/speech/68.wav;0,1,0
./data_training/speech/69.wav;0,1,0
./data_training/speech/70.wav;0,1,0
./data_training/speech/71.wav;0,1,0
./data_training/speech/72.wav;0,1,0
./data_training/speech/73.wav;0,1,0
./data_training/speech/74.wav;0,1,0
./data_training/speech/75.wav;0,1,0
./data_training/speech/76.wav;0,1,0
./data_training/speech/77.wav;0,1,0
./data_training/speech/78.wav;0,1,0
./data_training/speech/79.wav;0,1,0
./data_training/speech/80.wav;0,1,0
./data_training/speech/81.wav;0,1,0
./data_training/speech/82.wav;0,1,0
./data_training/speech/83.wav;0,1,0
./data_training/speech/84.wav;0,1,0
./data_training/speech/85.wav;0,1,0
./data_training/speech/86.wav;0,1,0
./data_training/speech/87.wav;0,1,0
./data_training/speech/88.wav;0,1,0
./data_training/speech/89.wav;0,1,0
./data_training/speech/90.wav;0,1,0
./data_training/speech/91.wav;0,1,0
./data_training/speech/92.wav;0,1,0
./data_training/speech/93.wav;0,1,0
./data_training/speech/94.wav;0,1,0
./data_training/speech/95.wav;0,1,0
./data_training/speech/96.wav;0,1,0
./data_training/speech/97.wav;0,1,0
./data_training/speech/98.wav;0,1,0
./data_training/speech/99.wav;0,1,0
./data_training/speech/100.wav;0,1,0
./data_training/machine/111.wav;0,0,1
./data_training/machine/112.wav;0,0,1
./data_training/machine/113.wav;0,0,1
./data_training/machine/114.wav;0,0,1
./data_training/machine/115.wav;0,0,1
./data_training/machine/116.wav;0,0,1
./data_training/machine/117.wav;0,0,1
./data_training/machine/118.wav;0,0,1
./data_training/machine/119.wav;0,0,1
./data_training/machine/120.wav;0,0,1
./data_training/machine/121.wav;0,0,1
./data_training/machine/122.wav;0,0,1
./data_training/machine/123.wav;0,0,1
./data_training/machine/124.wav;0,0,1
./data_training/machine/125.wav;0,0,1
./data_training/machine/126.wav;0,0,1
./data_training/machine/127.wav;0,0,1
./data_training/machine/128.wav;0,0,1
